592 9624
10 9 102.8806584362
10 10 195.4732510288
10 13 -15.4320987654
10 14 -36.0082304527
10 35 -30.8641975309
10 36 -133.7448559671
10 142 -72.0164609053
10 143 -30.8641975309
11 6 15.4320987654
11 7 15.4320987654
11 8 -66.8724279835
11 11 195.4732510288
11 12 -15.4320987654
11 13 -15.4320987654
11 14 -66.8724279835
11 37 -30.8641975309
11 144 -30.8641975309
12 9 -15.4320987654
12 11 -15.4320987654
12 12 293.2098765432
12 13 51.4403292181
12 15 -15.4320987654
12 17 15.4320987654
12 35 18.0041152263
12 36 -10.2880658436
12 37 10.2880658436
12 38 -30.8641975309
12 39 30.8641975309
12 41 18.0041152263
12 42 -10.2880658436
12 142 -33.4362139918
12 143 10.2880658436
12 144 77.1604938272
12 145 -133.7448559671
12 146 72.0164609053
12 148 -33.4362139918
12 149 10.2880658436
12 150 -77.1604938272
12 172 -66.8724279835
12 173 -154.3209876543
13 10 -15.4320987654
13 11 -15.4320987654
13 12 51.4403292181
13 13 293.2098765432
13 16 -15.4320987654
13 17 15.4320987654
13 35 10.2880658436
13 36 -33.4362139918
13 37 77.1604938272
13 38 72.0164609053
13 39 -133.7448559671
13 41 10.2880658436
13 42 -77.1604938272
13 142 -10.2880658436
13 143 18.0041152263
13 144 10.2880658436
13 145 30.8641975309
13 146 -30.8641975309
13 148 -10.2880658436
13 149 18.0041152263
13 150 -10.2880658436
13 172 -154.3209876543
13 173 -66.8724279835
14 9 -36.0082304527
14 10 -36.0082304527
14 11 -66.8724279835
14 14 293.2098765432
14 15 36.0082304527
14 16 36.0082304527
14 17 -66.8724279835
14 35 -10.2880658436
14 36 77.1604938272
14 37 -33.4362139918
14 40 -30.8641975309
14 41 10.2880658436
14 42 -33.4362139918
14 142 77.1604938272
14 143 -10.2880658436
14 144 -33.4362139918
14 147 -30.8641975309
14 148 -77.1604938272
14 149 10.2880658436
14 150 -33.4362139918
14 174 36.0082304527
15 12 -15.4320987654
15 14 36.0082304527
15 15 195.4732510288
15 16 102.8806584362
15 18 -15.4320987654
15 20 -36.0082304527
15 41 -30.8641975309
15 148 -133.7448559671
15 149 -30.8641975309
16 13 -15.4320987654
16 14 36.0082304527
16 15 102.8806584362
16 16 195.4732510288
16 19 -15.4320987654
16 20 -36.0082304527
16 41 -30.8641975309
16 148 -72.0164609053
16 149 -30.8641975309
17 12 15.4320987654
17 13 15.4320987654
17 14 -66.8724279835
17 17 195.4732510288
17 18 -15.4320987654
17 19 -15.4320987654
17 20 -66.8724279835
17 42 -30.8641975309
17 150 -30.8641975309
18 15 -15.4320987654
18 17 -15.4320987654
18 18 293.2098765432
18 19 51.4403292181
18 21 -15.4320987654
18 23 15.4320987654
18 41 18.0041152263
18 42 10.2880658436
18 43 -30.8641975309
18 44 30.8641975309
18 46 18.0041152263
18 47 -10.2880658436
18 48 -10.2880658436
18 148 -33.4362139918
18 149 10.2880658436
18 150 77.1604938272
18 151 -133.7448559671
18 152 72.0164609053
18 154 -33.4362139918
18 155 10.2880658436
18 156 -77.1604938272
18 178 -66.8724279835
18 179 -154.3209876543
19 16 -15.4320987654
19 17 -15.4320987654
19 18 51.4403292181
19 19 293.2098765432
19 22 -15.4320987654
19 23 15.4320987654
19 41 10.2880658436
19 42 77.1604938272
19 43 72.0164609053
19 44 -133.7448559671
19 46 10.2880658436
19 47 -33.4362139918
19 48 -77.1604938272
19 148 -10.2880658436
19 149 18.0041152263
19 150 10.2880658436
19 151 30.8641975309
19 152 -30.8641975309
19 154 -10.2880658436
19 155 18.0041152263
19 156 -10.2880658436
19 178 -154.3209876543
19 179 -66.8724279835
20 15 -36.0082304527
20 16 -36.0082304527
20 17 -66.8724279835
20 20 293.2098765432
20 21 36.0082304527
20 22 36.0082304527
20 23 -66.8724279835
20 41 -10.2880658436
20 42 -33.4362139918
20 45 -30.8641975309
20 46 10.2880658436
20 47 -77.1604938272
20 48 -33.4362139918
20 148 77.1604938272
20 149 -10.2880658436
20 150 -33.4362139918
20 153 -30.8641975309
20 154 -77.1604938272
20 155 10.2880658436
20 156 -33.4362139918
20 180 36.0082304527
21 18 -15.4320987654
21 20 36.0082304527
21 21 195.4732510288
21 22 102.8806584362
21 24 -15.4320987654
21 26 -36.0082304527
21 46 -30.8641975309
21 47 -72.0164609053
21 154 -133.7448559671
21 155 -30.8641975309
22 19 -15.4320987654
22 20 36.0082304527
22 21 102.8806584362
22 22 195.4732510288
22 25 -15.4320987654
22 26 -36.0082304527
22 46 -30.8641975309
22 47 -133.7448559671
22 154 -72.0164609053
22 155 -30.8641975309
23 18 15.4320987654
23 19 15.4320987654
23 20 -66.8724279835
23 23 195.4732510288
23 24 -15.4320987654
23 25 -15.4320987654
23 26 -66.8724279835
23 48 -30.8641975309
23 156 -30.8641975309
24 21 -15.4320987654
24 23 -15.4320987654
24 24 146.6049382716
24 25 25.7201646091
24 26 -25.7201646091
24 46 18.0041152263
24 47 -10.2880658436
24 48 10.2880658436
24 49 -15.4320987654
24 50 15.4320987654
24 154 -33.4362139918
24 155 10.2880658436
24 156 77.1604938272
24 157 -66.8724279835
24 158 36.0082304527
24 159 -36.0082304527
24 184 -33.4362139918
24 185 -77.1604938272
24 186 -10.2880658436
25 22 -15.4320987654
25 23 -15.4320987654
25 24 25.7201646091
25 25 146.6049382716
25 26 -25.7201646091
25 46 10.2880658436
25 47 -33.4362139918
25 48 77.1604938272
25 49 36.0082304527
25 50 -66.8724279835
25 51 -36.0082304527
25 154 -10.2880658436
25 155 18.0041152263
25 156 10.2880658436
25 157 15.4320987654
25 158 -15.4320987654
25 184 -77.1604938272
25 185 -33.4362139918
25 186 -10.2880658436
26 21 -36.0082304527
26 22 -36.0082304527
26 23 -66.8724279835
26 24 -25.7201646091
26 25 -25.7201646091
26 26 146.6049382716
26 46 -10.2880658436
26 47 77.1604938272
26 48 -33.4362139918
26 50 -15.4320987654
26 51 -15.4320987654
26 154 77.1604938272
26 155 -10.2880658436
26 156 -33.4362139918
26 157 -15.4320987654
26 159 -15.4320987654
26 184 10.2880658436
26 185 10.2880658436
26 186 18.0041152263
27 0 -15.4320987654
27 1 36.0082304527
27 27 195.4732510288
27 29 102.8806584362
27 30 -30.8641975309
27 31 -72.0164609053
27 52 -15.4320987654
27 53 -36.0082304527
27 160 -133.7448559671
27 162 -30.8641975309
28 0 15.4320987654
28 1 -66.8724279835
28 2 15.4320987654
28 28 195.4732510288
28 52 -15.4320987654
28 53 -66.8724279835
28 54 -15.4320987654
28 161 -30.8641975309
29 1 36.0082304527
29 2 -15.4320987654
29 27 102.8806584362
29 29 195.4732510288
29 30 -30.8641975309
29 31 -133.7448559671
29 53 -36.0082304527
29 54 -15.4320987654
29 160 -72.0164609053
29 162 -30.8641975309
30 0 18.0041152263
30 1 10.2880658436
30 2 10.2880658436
30 3 -30.8641975309
30 4 -30.8641975309
30 6 18.0041152263
30 7 10.2880658436
30 8 -10.2880658436
30 27 -30.8641975309
30 29 -30.8641975309
30 30 586.4197530864
30 32 -30.8641975309
30 34 30.8641975309
30 52 18.0041152263
30 53 -10.2880658436
30 54 10.2880658436
30 55 -30.8641975309
30 56 30.8641975309
30 58 18.0041152263
30 59 -10.2880658436
30 60 -10.2880658436
30 136 -66.8724279835
30 137 154.3209876543
30 160 -66.8724279835
30 162 154.3209876543
30 163 -267.4897119342
30 166 -66.8724279835
30 168 -154.3209876543
30 190 -66.8724279835
30 191 -154.3209876543
31 0 -10.2880658436
31 1 -77.1604938272
31 2 -33.4362139918
31 5 -30.8641975309
31 6 10.2880658436
31 7 77.1604938272
31 8 -33.4362139918
31 27 -72.0164609053
31 29 -133.7448559671
31 31 586.4197530864
31 32 72.0164609053
31 34 -133.7448559671
31 52 -10.2880658436
31 53 77.1604938272
31 54 -33.4362139918
31 57 -30.8641975309
31 58 10.2880658436
31 59 -77.1604938272
31 60 -33.4362139918
31 138 36.0082304527
31 160 154.3209876543
31 162 -66.8724279835
31 165 -61.7283950617
31 166 -154.3209876543
31 168 -66.8724279835
31 192 36.0082304527
32 6 -30.8641975309
32 7 72.0164609053
32 30 -30.8641975309
32 31 72.0164609053
32 32 390.9465020576
32 35 -30.8641975309
32 37 -72.0164609053
32 58 -30.8641975309
32 59 -72.0164609053
32 166 -267.4897119342
33 6 30.8641975309
33 7 -133.7448559671
33 33 390.9465020576
33 36 -30.8641975309
33 58 -30.8641975309
33 59 -133.7448559671
33 167 -61.7283950617
34 8 -30.8641975309
34 30 30.8641975309
34 31 -133.7448559671
34 34 390.9465020576
34 35 -30.8641975309
34 37 -133.7448559671
34 60 -30.8641975309
34 168 -61.7283950617
35 6 18.0041152263
35 7 10.2880658436
35 8 10.2880658436
35 9 -30.8641975309
35 10 -30.8641975309
35 12 18.0041152263
35 13 10.2880658436
35 14 -10.2880658436
35 32 -30.8641975309
35 34 -30.8641975309
35 35 586.4197530864
35 38 -30.8641975309
35 40 30.8641975309
35 58 18.0041152263
35 59 -10.2880658436
35 60 10.2880658436
35 61 -30.8641975309
35 62 30.8641975309
35 64 18.0041152263
35 65 -10.2880658436
35 66 -10.2880658436
35 142 -66.8724279835
35 143 154.3209876543
35 166 -66.8724279835
35 168 154.3209876543
35 169 -267.4897119342
35 172 -66.8724279835
35 174 -154.3209876543
35 196 -66.8724279835
35 197 -154.3209876543
36 6 -10.2880658436
36 7 -33.4362139918
36 8 -77.1604938272
36 9 -72.0164609053
36 10 -133.7448559671
36 12 -10.2880658436
36 13 -33.4362139918
36 14 77.1604938272
36 33 -30.8641975309
36 36 586.4197530864
36 39 -30.8641975309
36 58 10.2880658436
36 59 -33.4362139918
36 60 77.1604938272
36 61 72.0164609053
36 62 -133.7448559671
36 64 10.2880658436
36 65 -33.4362139918
36 66 -77.1604938272
36 142 154.3209876543
36 143 -66.8724279835
36 167 36.0082304527
36 170 -61.7283950617
36 173 36.0082304527
36 196 -154.3209876543
36 197 -66.8724279835
37 6 -10.2880658436
37 7 -77.1604938272
37 8 -33.4362139918
37 11 -30.8641975309
37 12 10.2880658436
37 13 77.1604938272
37 14 -33.4362139918
37 32 -72.0164609053
37 34 -133.7448559671
37 37 586.4197530864
37 38 72.0164609053
37 40 -133.7448559671
37 58 -10.2880658436
37 59 77.1604938272
37 60 -33.4362139918
37 63 -30.8641975309
37 64 10.2880658436
37 65 -77.1604938272
37 66 -33.4362139918
37 144 36.0082304527
37 166 154.3209876543
37 168 -66.8724279835
37 171 -61.7283950617
37 172 -154.3209876543
37 174 -66.8724279835
37 198 36.0082304527
38 12 -30.8641975309
38 13 72.0164609053
38 35 -30.8641975309
38 37 72.0164609053
38 38 390.9465020576
38 41 -30.8641975309
38 42 -72.0164609053
38 64 -30.8641975309
38 65 -72.0164609053
38 172 -267.4897119342
39 12 30.8641975309
39 13 -133.7448559671
39 36 -30.8641975309
39 39 390.9465020576
39 64 -30.8641975309
39 65 -133.7448559671
39 173 -61.7283950617
40 14 -30.8641975309
40 35 30.8641975309
40 37 -133.7448559671
40 40 390.9465020576
40 41 -30.8641975309
40 42 -133.7448559671
40 66 -30.8641975309
40 174 -61.7283950617
41 12 18.0041152263
41 13 10.2880658436
41 14 10.2880658436
41 15 -30.8641975309
41 16 -30.8641975309
41 18 18.0041152263
41 19 10.2880658436
41 20 -10.2880658436
41 38 -30.8641975309
41 40 -30.8641975309
41 41 586.4197530864
41 43 -30.8641975309
41 45 30.8641975309
41 64 18.0041152263
41 65 -10.2880658436
41 66 10.2880658436
41 67 -30.8641975309
41 68 30.8641975309
41 70 18.0041152263
41 71 -10.2880658436
41 72 -10.2880658436
41 148 -66.8724279835
41 149 154.3209876543
41 172 -66.8724279835
41 174 154.3209876543
41 175 -267.4897119342
41 178 -66.8724279835
41 180 -154.3209876543
41 202 -66.8724279835
41 203 -154.3209876543
42 12 -10.2880658436
42 13 -77.1604938272
42 14 -33.4362139918
42 17 -30.8641975309
42 18 10.2880658436
42 19 77.1604938272
42 20 -33.4362139918
42 38 -72.0164609053
42 40 -133.7448559671
42 42 586.4197530864
42 43 72.0164609053
42 45 -133.7448559671
42 64 -10.2880658436
42 65 77.1604938272
42 66 -33.4362139918
42 69 -30.8641975309
42 70 10.2880658436
42 71 -77.1604938272
42 72 -33.4362139918
42 150 36.0082304527
42 172 154.3209876543
42 174 -66.8724279835
42 177 -61.7283950617
42 178 -154.3209876543
42 180 -66.8724279835
42 204 36.0082304527
43 18 -30.8641975309
43 19 72.0164609053
43 41 -30.8641975309
43 42 72.0164609053
43 43 390.9465020576
43 46 -30.8641975309
43 48 -72.0164609053
43 70 -30.8641975309
43 71 -72.0164609053
43 178 -267.4897119342
44 18 30.8641975309
44 19 -133.7448559671
44 44 390.9465020576
44 47 -30.8641975309
44 70 -30.8641975309
44 71 -133.7448559671
44 179 -61.7283950617
45 20 -30.8641975309
45 41 30.8641975309
45 42 -133.7448559671
45 45 390.9465020576
45 46 -30.8641975309
45 48 -133.7448559671
45 72 -30.8641975309
45 180 -61.7283950617
46 18 18.0041152263
46 19 10.2880658436
46 20 10.2880658436
46 21 -30.8641975309
46 22 -30.8641975309
46 24 18.0041152263
46 25 10.2880658436
46 26 -10.2880658436
46 43 -30.8641975309
46 45 -30.8641975309
46 46 586.4197530864
46 49 -30.8641975309
46 51 30.8641975309
46 70 18.0041152263
46 71 -10.2880658436
46 72 10.2880658436
46 73 -30.8641975309
46 74 30.8641975309
46 76 18.0041152263
46 77 -10.2880658436
46 78 -10.2880658436
46 154 -66.8724279835
46 155 154.3209876543
46 178 -66.8724279835
46 180 154.3209876543
46 181 -267.4897119342
46 184 -66.8724279835
46 186 -154.3209876543
46 208 -66.8724279835
46 209 -154.3209876543
47 18 -10.2880658436
47 19 -33.4362139918
47 20 -77.1604938272
47 21 -72.0164609053
47 22 -133.7448559671
47 24 -10.2880658436
47 25 -33.4362139918
47 26 77.1604938272
47 44 -30.8641975309
47 47 586.4197530864
47 50 -30.8641975309
47 70 10.2880658436
47 71 -33.4362139918
47 72 77.1604938272
47 73 72.0164609053
47 74 -133.7448559671
47 76 10.2880658436
47 77 -33.4362139918
47 78 -77.1604938272
47 154 154.3209876543
47 155 -66.8724279835
47 179 36.0082304527
47 182 -61.7283950617
47 185 36.0082304527
47 208 -154.3209876543
47 209 -66.8724279835
48 18 -10.2880658436
48 19 -77.1604938272
48 20 -33.4362139918
48 23 -30.8641975309
48 24 10.2880658436
48 25 77.1604938272
48 26 -33.4362139918
48 43 -72.0164609053
48 45 -133.7448559671
48 48 586.4197530864
48 49 72.0164609053
48 51 -133.7448559671
48 70 -10.2880658436
48 71 77.1604938272
48 72 -33.4362139918
48 75 -30.8641975309
48 76 10.2880658436
48 77 -77.1604938272
48 78 -33.4362139918
48 156 36.0082304527
48 178 154.3209876543
48 180 -66.8724279835
48 183 -61.7283950617
48 184 -154.3209876543
48 186 -66.8724279835
48 210 36.0082304527
49 24 -15.4320987654
49 25 36.0082304527
49 46 -30.8641975309
49 48 72.0164609053
49 49 195.4732510288
49 51 -102.8806584362
49 76 -15.4320987654
49 77 -36.0082304527
49 184 -133.7448559671
49 186 30.8641975309
50 24 15.4320987654
50 25 -66.8724279835
50 26 -15.4320987654
50 47 -30.8641975309
50 50 195.4732510288
50 76 -15.4320987654
50 77 -66.8724279835
50 78 15.4320987654
50 185 -30.8641975309
51 25 -36.0082304527
51 26 -15.4320987654
51 46 30.8641975309
51 48 -133.7448559671
51 49 -102.8806584362
51 51 195.4732510288
51 77 36.0082304527
51 78 -15.4320987654
51 184 72.0164609053
51 186 -30.8641975309
52 27 -15.4320987654
52 28 -15.4320987654
52 30 18.0041152263
52 31 -10.2880658436
52 52 293.2098765432
52 54 51.4403292181
52 55 -30.8641975309
52 57 30.8641975309
52 79 -15.4320987654
52 80 15.4320987654
52 82 18.0041152263
52 83 -10.2880658436
52 84 -10.2880658436
52 160 -33.4362139918
52 161 77.1604938272
52 162 10.2880658436
52 187 -133.7448559671
52 189 72.0164609053
52 190 -66.8724279835
52 192 -154.3209876543
52 214 -33.4362139918
52 215 -77.1604938272
52 216 10.2880658436
53 27 -36.0082304527
53 28 -66.8724279835
53 29 -36.0082304527
53 30 -10.2880658436
53 31 77.1604938272
53 53 293.2098765432
53 56 -30.8641975309
53 79 36.0082304527
53 80 -66.8724279835
53 81 36.0082304527
53 82 10.2880658436
53 83 -33.4362139918
53 84 -77.1604938272
53 160 77.1604938272
53 161 -33.4362139918
53 162 -10.2880658436
53 188 -30.8641975309
53 191 36.0082304527
53 214 -77.1604938272
53 215 -33.4362139918
53 216 10.2880658436
54 28 -15.4320987654
54 29 -15.4320987654
54 30 10.2880658436
54 31 -33.4362139918
54 52 51.4403292181
54 54 293.2098765432
54 55 72.0164609053
54 57 -133.7448559671
54 80 15.4320987654
54 81 -15.4320987654
54 82 10.2880658436
54 83 -77.1604938272
54 84 -33.4362139918
54 160 -10.2880658436
54 161 10.2880658436
54 162 18.0041152263
54 187 30.8641975309
54 189 -30.8641975309
54 190 -154.3209876543
54 192 -66.8724279835
54 214 -10.2880658436
54 215 -10.2880658436
54 216 18.0041152263
55 30 -30.8641975309
55 52 -30.8641975309
55 54 72.0164609053
55 55 390.9465020576
55 58 -30.8641975309
55 60 -72.0164609053
55 82 -30.8641975309
55 83 -72.0164609053
55 190 -267.4897119342
56 30 30.8641975309
56 53 -30.8641975309
56 56 390.9465020576
56 59 -30.8641975309
56 82 -30.8641975309
56 83 -133.7448559671
56 191 -61.7283950617
57 31 -30.8641975309
57 52 30.8641975309
57 54 -133.7448559671
57 57 390.9465020576
57 58 -30.8641975309
57 60 -133.7448559671
57 84 -30.8641975309
57 192 -61.7283950617
58 30 18.0041152263
58 31 10.2880658436
58 32 -30.8641975309
58 33 -30.8641975309
58 35 18.0041152263
58 36 10.2880658436
58 37 -10.2880658436
58 55 -30.8641975309
58 57 -30.8641975309
58 58 586.4197530864
58 61 -30.8641975309
58 63 30.8641975309
58 82 18.0041152263
58 83 -10.2880658436
58 84 10.2880658436
58 85 -30.8641975309
58 86 30.8641975309
58 88 18.0041152263
58 89 -10.2880658436
58 90 -10.2880658436
58 166 -66.8724279835
58 167 154.3209876543
58 190 -66.8724279835
58 192 154.3209876543
58 193 -267.4897119342
58 196 -66.8724279835
58 198 -154.3209876543
58 220 -66.8724279835
58 221 -154.3209876543
59 30 -10.2880658436
59 31 -77.1604938272
59 32 -72.0164609053
59 33 -133.7448559671
59 35 -10.2880658436
59 36 -33.4362139918
59 37 77.1604938272
59 56 -30.8641975309
59 59 586.4197530864
59 62 -30.8641975309
59 82 10.2880658436
59 83 -33.4362139918
59 84 77.1604938272
59 85 72.0164609053
59 86 -133.7448559671
59 88 10.2880658436
59 89 -33.4362139918
59 90 -77.1604938272
59 166 154.3209876543
59 167 -66.8724279835
59 191 36.0082304527
59 194 -61.7283950617
59 197 36.0082304527
59 220 -154.3209876543
59 221 -66.8724279835
60 30 -10.2880658436
60 31 -33.4362139918
60 34 -30.8641975309
60 35 10.2880658436
60 36 77.1604938272
60 37 -33.4362139918
60 55 -72.0164609053
60 57 -133.7448559671
60 60 586.4197530864
60 61 72.0164609053
60 63 -133.7448559671
60 82 -10.2880658436
60 83 77.1604938272
60 84 -33.4362139918
60 87 -30.8641975309
60 88 10.2880658436
60 89 -77.1604938272
60 90 -33.4362139918
60 168 36.0082304527
60 190 154.3209876543
60 192 -66.8724279835
60 195 -61.7283950617
60 196 -154.3209876543
60 198 -66.8724279835
60 222 36.0082304527
61 35 -30.8641975309
61 36 72.0164609053
61 58 -30.8641975309
61 60 72.0164609053
61 61 390.9465020576
61 64 -30.8641975309
61 66 -72.0164609053
61 88 -30.8641975309
61 89 -72.0164609053
61 196 -267.4897119342
62 35 30.8641975309
62 36 -133.7448559671
62 59 -30.8641975309
62 62 390.9465020576
62 65 -30.8641975309
62 88 -30.8641975309
62 89 -133.7448559671
62 197 -61.7283950617
63 37 -30.8641975309
63 58 30.8641975309
63 60 -133.7448559671
63 63 390.9465020576
63 64 -30.8641975309
63 66 -133.7448559671
63 90 -30.8641975309
63 198 -61.7283950617
64 35 18.0041152263
64 36 10.2880658436
64 37 10.2880658436
64 38 -30.8641975309
64 39 -30.8641975309
64 41 18.0041152263
64 42 -10.2880658436
64 61 -30.8641975309
64 63 -30.8641975309
64 64 586.4197530864
64 67 -30.8641975309
64 69 30.8641975309
64 88 18.0041152263
64 89 -10.2880658436
64 90 10.2880658436
64 91 -30.8641975309
64 92 30.8641975309
64 94 18.0041152263
64 95 -10.2880658436
64 96 -10.2880658436
64 172 -66.8724279835
64 173 154.3209876543
64 196 -66.8724279835
64 198 154.3209876543
64 199 -267.4897119342
64 202 -66.8724279835
64 204 -154.3209876543
64 226 -66.8724279835
64 227 -154.3209876543
65 35 -10.2880658436
65 36 -33.4362139918
65 37 -77.1604938272
65 38 -72.0164609053
65 39 -133.7448559671
65 41 -10.2880658436
65 42 77.1604938272
65 62 -30.8641975309
65 65 586.4197530864
65 68 -30.8641975309
65 88 10.2880658436
65 89 -33.4362139918
65 90 77.1604938272
65 91 72.0164609053
65 92 -133.7448559671
65 94 10.2880658436
65 95 -33.4362139918
65 96 -77.1604938272
65 172 154.3209876543
65 173 -66.8724279835
65 197 36.0082304527
65 200 -61.7283950617
65 203 36.0082304527
65 226 -154.3209876543
65 227 -66.8724279835
66 35 -10.2880658436
66 36 -77.1604938272
66 37 -33.4362139918
66 40 -30.8641975309
66 41 10.2880658436
66 42 -33.4362139918
66 61 -72.0164609053
66 63 -133.7448559671
66 66 586.4197530864
66 67 72.0164609053
66 69 -133.7448559671
66 88 -10.2880658436
66 89 77.1604938272
66 90 -33.4362139918
66 93 -30.8641975309
66 94 10.2880658436
66 95 -77.1604938272
66 96 -33.4362139918
66 174 36.0082304527
66 196 154.3209876543
66 198 -66.8724279835
66 201 -61.7283950617
66 202 -154.3209876543
66 204 -66.8724279835
66 228 36.0082304527
67 41 -30.8641975309
67 64 -30.8641975309
67 66 72.0164609053
67 67 390.9465020576
67 70 -30.8641975309
67 72 -72.0164609053
67 94 -30.8641975309
67 95 -72.0164609053
67 202 -267.4897119342
68 41 30.8641975309
68 65 -30.8641975309
68 68 390.9465020576
68 71 -30.8641975309
68 94 -30.8641975309
68 95 -133.7448559671
68 203 -61.7283950617
69 42 -30.8641975309
69 64 30.8641975309
69 66 -133.7448559671
69 69 390.9465020576
69 70 -30.8641975309
69 72 -133.7448559671
69 96 -30.8641975309
69 204 -61.7283950617
70 41 18.0041152263
70 42 10.2880658436
70 43 -30.8641975309
70 44 -30.8641975309
70 46 18.0041152263
70 47 10.2880658436
70 48 -10.2880658436
70 67 -30.8641975309
70 69 -30.8641975309
70 70 586.4197530864
70 73 -30.8641975309
70 75 30.8641975309
70 94 18.0041152263
70 95 -10.2880658436
70 96 10.2880658436
70 97 -30.8641975309
70 98 30.8641975309
70 100 18.0041152263
70 101 -10.2880658436
70 102 -10.2880658436
70 178 -66.8724279835
70 179 154.3209876543
70 202 -66.8724279835
70 204 154.3209876543
70 205 -267.4897119342
70 208 -66.8724279835
70 210 -154.3209876543
70 232 -66.8724279835
70 233 -154.3209876543
71 41 -10.2880658436
71 42 -77.1604938272
71 43 -72.0164609053
71 44 -133.7448559671
71 46 -10.2880658436
71 47 -33.4362139918
71 48 77.1604938272
71 68 -30.8641975309
71 71 586.4197530864
71 74 -30.8641975309
71 94 10.2880658436
71 95 -33.4362139918
71 96 77.1604938272
71 97 72.0164609053
71 98 -133.7448559671
71 100 10.2880658436
71 101 -33.4362139918
71 102 -77.1604938272
71 178 154.3209876543
71 179 -66.8724279835
71 203 36.0082304527
71 206 -61.7283950617
71 209 36.0082304527
71 232 -154.3209876543
71 233 -66.8724279835
72 41 -10.2880658436
72 42 -33.4362139918
72 45 -30.8641975309
72 46 10.2880658436
72 47 77.1604938272
72 48 -33.4362139918
72 67 -72.0164609053
72 69 -133.7448559671
72 72 586.4197530864
72 73 72.0164609053
72 75 -133.7448559671
72 94 -10.2880658436
72 95 77.1604938272
72 96 -33.4362139918
72 99 -30.8641975309
72 100 10.2880658436
72 101 -77.1604938272
72 102 -33.4362139918
